sweep,family,instance,formulation,solver,per_source,reps_off,reps_on,t_tot_off,t_tot_on,d_t_tot_pct,t_pr_off,t_pr_on,d_t_pr_pct,t_lp_off,t_lp_on,d_t_lp_pct,per_price_us_off,per_price_us_on,d_per_price_pct,iters_off,iters_on,cols_off,cols_on,priced_off,priced_on,traj_moved,traj_stable,pricing_share_pct,cut_rate_pct,pred_wall_pct,obj_off,obj_on,d_obj_rel,lb_delta,exit_off,exit_on,spread_off_pct
intermodal_path_tree,intermodal,BUS-18424-0,tree,mosek,1.0,1,1,7.929,7.125,-10.139992432841472,4.576,3.52,-23.076923076923073,1.587,1.685,6.175173282923761,48.24408809606646,46.15606519544209,-4.3280389018164875,18,20,20952,20937,94851,76263,1,,57.712195737167356,72.53058494945124,-2.4978062825970797,485025.499095,485027.498741,4.122764687158369e-06,24.99527399998624,gap,gap,
intermodal_path_tree,intermodal,BUS-23688-0,path,copt-cpu,1.0,1,1,11.501,8.277,-28.032345013477094,6.776,5.224,-22.904368358913807,1.426,0.918,-35.62412342215988,55.941746610967094,53.8107353653135,-3.809339848598546,29,19,27821,27530,121126,97081,1,,58.91661594643944,71.60103418794615,-2.244334128693483,624881.500288,624896.505289,2.4012554369263063e-05,2.3956669999752194,gap,gap,
intermodal_path_tree,intermodal,BUS-23688-0,path,copt-gpu,1.0,1,1,13.217,9.515,-28.009381856699704,6.795,5.295,-22.075055187637968,3.195,2.076,-35.02347417840375,56.09860806102736,54.54208341488036,-2.774622579679205,29,19,27821,27530,121126,97081,1,,51.41106151168949,71.6000041202707,-1.4264629211561017,624881.500288,624896.500001,2.4004091964817895e-05,2.508972999989055,gap,gap,
intermodal_path_tree,intermodal,BUS-23688-0,path,cuopt,1.0,1,1,10.753,16.517,53.60364549428066,5.828,6.234,6.966369251887434,3.205,6.657,107.70670826833073,59.07515153972469,62.55393445583897,5.888741417404562,15,31,27469,27158,98654,99658,1,,54.19882823398122,72.73675971823637,3.191628845962409,624882.028347,624882.521656,7.894434111768037e-07,35.65150999999605,gap,gap,
intermodal_path_tree,intermodal,BUS-23688-0,path,highs,1.0,3,1,103.191,34.603,-66.4670368539892,7.501,5.132,-31.582455672576998,90.821,27.787,-69.40465310886249,61.48058292215137,52.935594339233404,-13.898678536828282,43,15,27430,27308,122006,96948,1,,7.269044781037106,71.80550398151587,-1.0103011668144406,624881.500388,624888.50008,1.1201631022260715e-05,30.183848000015132,gap,gap,6.479136115184651
intermodal_path_tree,intermodal,BUS-23688-0,path,mosek,1.0,1,1,9.04,14.053,55.453539823008875,5.586,5.838,4.511278195488718,1.947,4.853,149.25526450950179,56.841076988827155,58.82293671345229,3.486668144966181,13,30,27384,27088,98274,99247,1,,61.7920353982301,72.70446461857789,2.1544832143563153,624882.000186,624882.000113,1.168220140117302e-10,44.71513599995524,gap,gap,
intermodal_path_tree,intermodal,BUS-23688-0,tree,copt-cpu,1.0,1,1,7.292,8.728,19.692814042786615,5.161,5.493,6.432861848478992,0.592,0.879,48.47972972972973,53.19028331735873,56.38530471468604,6.0067764224234095,13,20,27331,27325,97029,97419,1,,70.77619308831595,71.92128845502417,4.251367679117829,624891.00213,624893.5,3.997289113539214e-06,15.827126999967732,gap,gap,
intermodal_path_tree,intermodal,BUS-23688-0,tree,copt-gpu,1.0,1,1,8.053,9.511,18.10505401713645,5.2,5.235,0.6730769230769258,1.328,1.932,45.48192771084336,53.59222500489545,53.725920832520856,0.24946870112818945,13,20,27331,27345,97029,97439,1,,64.57220911461566,71.90549985118895,0.16108745136801006,624891.001447,624894.000001,4.798523251423745e-06,15.73037599993404,gap,gap,
intermodal_path_tree,intermodal,BUS-23688-0,tree,cuopt,1.0,1,1,16.712,12.946,-22.534705600765918,7.895,5.742,-27.270424319189356,5.457,4.554,-16.547553600879596,64.14214451684188,58.14389144853425,-9.351500660743678,27,22,27139,27203,123086,98755,1,,47.24150311153662,72.45202774543061,-4.417789475620593,624881.530131,624882.516754,1.578896082586236e-06,39.18919900001492,gap,gap,
intermodal_path_tree,intermodal,BUS-23688-0,tree,highs,1.0,3,1,60.165,76.862,27.7520152912823,7.699,7.43,-3.493960254578518,48.211,63.826,32.38887390844414,60.8136343152116,60.650090607806966,-0.26892605457017904,38,48,27148,27178,122046,122506,1,,12.79647635668578,77.81496416502048,-0.03441305899004086,624881.500102,624881.501565,2.3412440283628495e-09,39.35495599999558,gap,gap,14.11871671645669
intermodal_path_tree,intermodal,BUS-23688-0,tree,mosek,1.0,1,1,9.901,15.35,55.03484496515503,5.655,6.142,8.611847922192752,2.206,4.742,114.95920217588396,57.44324241962517,61.81873081374868,7.617063748178404,17,38,27585,26943,98445,99355,1,,57.11544288455712,72.86900508278396,4.350519694571142,624881.45536,624883.00027,2.4723249292918204e-06,37.65434400003869,gap,gap,
intermodal_path_tree,intermodal,BUS-2632-0,path,copt-cpu,1.0,1,1,2.0,1.787,-10.650000000000004,0.566,0.478,-15.547703180212011,0.365,0.318,-12.87671232876712,40.89004479121514,43.160270880361175,5.552026418014033,38,33,3247,3250,13842,11075,1,,28.299999999999997,70.63656884875847,1.571223476297971,71026.5,71027.000002,7.039654213577708e-06,0.5261429999954998,gap,gap,
intermodal_path_tree,intermodal,BUS-2632-0,path,copt-gpu,1.0,1,1,4.045,3.429,-15.228677379480843,0.677,0.561,-17.13441654357459,2.104,1.785,-15.161596958174911,48.909117179598326,50.65462753950339,3.5688854360126827,38,33,3247,3250,13842,11075,1,,16.73671199011125,70.63656884875847,0.5973140766824688,71026.5,71027.000002,7.039654213577708e-06,0.5246429999970132,gap,gap,
intermodal_path_tree,intermodal,BUS-2632-0,path,cuopt,1.0,1,1,3.698,3.293,-10.951865873445099,0.516,0.401,-22.286821705426355,2.547,2.366,-7.106399685904988,37.866001320907024,36.5176213459612,-3.5609251780206796,21,17,3198,3187,13627,10981,1,,13.953488372093023,70.94071578180494,-0.49687328065404834,71026.50093,71026.500941,1.5487192605323418e-10,1.1172910000022966,gap,gap,
intermodal_path_tree,intermodal,BUS-2632-0,path,highs,1.0,3,1,3.36,3.373,0.3869047619047722,0.46,0.447,-2.8260869565217415,2.345,2.335,-0.42643923240939147,39.66521106259098,40.643753409710854,2.467004009069194,17,17,3199,3191,10992,10998,1,,13.690476190476192,70.949263502455,0.3377445964797111,71026.500008,71026.500011,4.2237668184575504e-11,4.566348000007565,gap,gap,27.391304347826097
intermodal_path_tree,intermodal,BUS-2632-0,path,mosek,1.0,1,1,1.481,1.283,-13.369345037137082,0.458,0.417,-8.95196506550219,0.398,0.328,-17.587939698492463,33.88325811940519,30.907204269196562,-8.783257618617913,22,19,3228,3231,13517,13492,1,,30.925050641458476,76.00800474355174,-2.7162268665273497,71026.500103,71026.500133,4.223775008011456e-10,4.618138000005274,gap,gap,
intermodal_path_tree,intermodal,BUS-2632-0,tree,copt-cpu,1.0,1,1,1.8,1.374,-23.666666666666664,0.575,0.46,-19.99999999999999,0.294,0.219,-25.510204081632647,35.18541182229837,33.6996336996337,-4.222710622710614,32,24,3243,3237,16342,13650,1,,31.94444444444444,76.25641025641026,-1.3489214489214458,71026.5,71026.500108,1.5205591280172324e-09,0.974421999999322,gap,gap,
