sweep,family,instance,formulation,solver,arm,rep,commodities,sources,per_source,iterations,columns,objective,lower_bound,optimal,exit,t_tot,t_lp,t_pr,t_sp,bounded_enabled,cut,priced,cut_rate_pct,per_price_us
intermodal_path_tree,intermodal,BUS-23688-0,path,cuopt,off,rep1,23643,23643,1.0,15,27469,624882.028347,624837.666006,1,gap,10.753,3.205,5.828,1.698,0,0,98654,0.0,59.07515153972469
intermodal_path_tree,intermodal,BUS-23688-0,path,cuopt,on,rep1,23643,23643,1.0,31,27158,624882.521656,624873.317516,1,gap,16.517,6.657,6.234,3.583,1,72488,99658,72.73675971823637,62.55393445583897
intermodal_path_tree,intermodal,BUS-23688-0,path,highs,off,rep1,23643,23643,1.0,43,27430,624881.500051,624840.217754,1,gap,106.557,93.905,7.626,4.98,0,0,121968,0.0,62.52459661550571
intermodal_path_tree,intermodal,BUS-23688-0,path,highs,off,rep2,23643,23643,1.0,43,27500,624881.501507,624840.01849,1,gap,101.34,89.413,7.14,4.742,0,0,122057,0.0,58.49725947712954
intermodal_path_tree,intermodal,BUS-23688-0,path,highs,off,rep3,23643,23643,1.0,43,27429,624881.500388,624840.189444,1,gap,103.191,90.821,7.501,4.822,0,0,122006,0.0,61.48058292215137
intermodal_path_tree,intermodal,BUS-23688-0,path,highs,on,rep1,23643,23643,1.0,15,27308,624888.50008,624870.373292,1,gap,34.603,27.787,5.132,1.665,1,69614,96948,71.80550398151587,52.935594339233404
intermodal_path_tree,intermodal,BUS-23688-0,path,mosek,off,rep1,23643,23643,1.0,13,27384,624882.000186,624834.725789,1,gap,9.04,1.947,5.586,1.486,0,0,98274,0.0,56.841076988827155
intermodal_path_tree,intermodal,BUS-23688-0,path,mosek,on,rep1,23643,23643,1.0,30,27088,624882.000113,624879.440925,1,gap,14.053,4.853,5.838,3.321,1,72157,99247,72.70446461857789,58.82293671345229
intermodal_path_tree,intermodal,BUS-23688-0,tree,copt-cpu,off,rep1,23643,23643,1.0,13,27331,624891.00213,624830.570363,1,gap,7.292,0.592,5.161,1.52,0,0,97029,0.0,53.19028331735873
intermodal_path_tree,intermodal,BUS-23688-0,tree,copt-cpu,on,rep1,23643,23643,1.0,20,27325,624893.5,624846.39749,1,gap,8.728,0.879,5.493,2.33,1,70065,97419,71.92128845502417,56.38530471468604
intermodal_path_tree,intermodal,BUS-23688-0,tree,copt-gpu,off,rep1,23643,23643,1.0,13,27331,624891.001447,624830.565286,1,gap,8.053,1.328,5.2,1.507,0,0,97029,0.0,53.59222500489545
intermodal_path_tree,intermodal,BUS-23688-0,tree,copt-gpu,on,rep1,23643,23643,1.0,20,27345,624894.000001,624846.295662,1,gap,9.511,1.932,5.235,2.319,1,70064,97439,71.90549985118895,53.725920832520856
intermodal_path_tree,intermodal,BUS-23688-0,tree,cuopt,off,rep1,23643,23643,1.0,27,27139,624881.530131,624840.210345,1,gap,16.712,5.457,7.895,3.321,0,0,123086,0.0,64.14214451684188
intermodal_path_tree,intermodal,BUS-23688-0,tree,cuopt,on,rep1,23643,23643,1.0,22,27203,624882.516754,624879.399544,1,gap,12.946,4.554,5.742,2.62,1,71550,98755,72.45202774543061,58.14389144853425
intermodal_path_tree,intermodal,BUS-23688-0,tree,highs,off,rep1,23643,23643,1.0,32,27553,624881.500102,624840.234695,1,gap,53.2,40.874,8.509,3.782,0,0,145242,0.0,58.58498230539376
intermodal_path_tree,intermodal,BUS-23688-0,tree,highs,off,rep2,23643,23643,1.0,38,27148,624881.501086,624840.217957,1,gap,60.165,48.211,7.422,4.492,0,0,122045,0.0,60.8136343152116
intermodal_path_tree,intermodal,BUS-23688-0,tree,highs,off,rep3,23643,23643,1.0,38,27145,624881.500044,624840.228898,1,gap,61.947,49.665,7.699,4.541,0,0,122046,0.0,63.082772069547545
intermodal_path_tree,intermodal,BUS-23688-0,tree,highs,on,rep1,23643,23643,1.0,48,27178,624881.501565,624879.583854,1,gap,76.862,63.826,7.43,5.558,1,95328,122506,77.81496416502048,60.650090607806966
intermodal_path_tree,intermodal,BUS-23688-0,tree,mosek,off,rep1,23643,23643,1.0,17,27585,624881.45536,624835.160973,1,gap,9.901,2.206,5.655,2.013,0,0,98445,0.0,57.44324241962517
intermodal_path_tree,intermodal,BUS-23688-0,tree,mosek,on,rep1,23643,23643,1.0,38,26943,624883.00027,624872.815317,1,gap,15.35,4.742,6.142,4.417,1,72399,99355,72.86900508278396,61.81873081374868
intermodal_path_tree,intermodal,BUS-2632-0,path,copt-cpu,off,rep1,2628,2628,1.0,38,3247,71026.5,71020.625453,1,gap,2.0,0.365,0.566,1.056,0,0,13842,0.0,40.89004479121514
intermodal_path_tree,intermodal,BUS-2632-0,path,copt-cpu,on,rep1,2628,2628,1.0,33,3250,71027.000002,71021.151596,1,gap,1.787,0.318,0.478,0.98,1,7823,11075,70.63656884875847,43.160270880361175
intermodal_path_tree,intermodal,BUS-2632-0,path,copt-gpu,off,rep1,2628,2628,1.0,38,3247,71026.5,71020.626953,1,gap,4.045,2.104,0.677,1.25,0,0,13842,0.0,48.909117179598326
intermodal_path_tree,intermodal,BUS-2632-0,path,copt-gpu,on,rep1,2628,2628,1.0,33,3250,71027.000002,71021.151596,1,gap,3.429,1.785,0.561,1.071,1,7823,11075,70.63656884875847,50.65462753950339
intermodal_path_tree,intermodal,BUS-2632-0,path,cuopt,off,rep1,2628,2628,1.0,21,3198,71026.50093,71021.873497,1,gap,3.698,2.547,0.516,0.627,0,0,13627,0.0,37.866001320907024
intermodal_path_tree,intermodal,BUS-2632-0,path,cuopt,on,rep1,2628,2628,1.0,17,3187,71026.500941,71022.990788,1,gap,3.293,2.366,0.401,0.519,1,7790,10981,70.94071578180494,36.5176213459612
intermodal_path_tree,intermodal,BUS-2632-0,path,highs,off,rep1,2628,2628,1.0,17,3198,71026.500008,71020.799125,1,gap,3.336,2.345,0.436,0.548,0,0,10992,0.0,39.66521106259098
intermodal_path_tree,intermodal,BUS-2632-0,path,highs,off,rep2,2628,2628,1.0,17,3199,71026.500006,71021.8797,1,gap,3.455,2.306,0.562,0.58,0,0,16100,0.0,34.90683229813665
intermodal_path_tree,intermodal,BUS-2632-0,path,highs,off,rep3,2628,2628,1.0,17,3202,71026.500053,71020.807095,1,gap,3.36,2.347,0.46,0.546,0,0,10989,0.0,41.86004186004186
intermodal_path_tree,intermodal,BUS-2632-0,path,highs,on,rep1,2628,2628,1.0,17,3191,71026.500011,71025.373443,1,gap,3.373,2.335,0.447,0.584,1,7803,10998,70.949263502455,40.643753409710854
intermodal_path_tree,intermodal,BUS-2632-0,path,mosek,off,rep1,2628,2628,1.0,22,3228,71026.500103,71019.404966,1,gap,1.481,0.398,0.458,0.618,0,0,13517,0.0,33.88325811940519
