sweep,family,instance,formulation,solver,arm,rep,commodities,sources,per_source,iterations,columns,objective,lower_bound,optimal,exit,t_tot,t_lp,t_pr,t_sp,cutoff_enabled,cut,priced,cut_rate_pct,per_price_us
gridplanar_path_tree,grid,grid13,path,copt-gpu,on,rep3,12000,900,13.333333333333334,12,33255,1159320977.891663,1159319592.860032,1,gap,7.692,7.407,0.1,0.045,1,5291,12600,41.992063492063494,7.936507936507937
gridplanar_path_tree,grid,grid13,tree,copt-gpu,off,rep1,12000,900,13.333333333333334,27,7045,1159321656.055747,1159314081.840402,1,gap,10.637,10.195,0.217,0.033,0,0,30600,0.0,7.091503267973856
gridplanar_path_tree,grid,grid13,tree,copt-gpu,off,rep2,12000,900,13.333333333333334,27,7048,1159321653.364037,1159314082.873316,1,gap,10.998,10.542,0.224,0.032,0,0,30600,0.0,7.3202614379084965
gridplanar_path_tree,grid,grid13,tree,copt-gpu,off,rep3,12000,900,13.333333333333334,25,7056,1159327640.772173,1159280840.980136,1,gap,10.144,9.742,0.203,0.029,0,0,28800,0.0,7.048611111111111
gridplanar_path_tree,grid,grid13,tree,copt-gpu,on,rep1,12000,900,13.333333333333334,27,6987,1159321493.280029,1159315889.560734,1,gap,10.329,9.921,0.172,0.034,1,11051,30600,36.11437908496732,5.620915032679738
gridplanar_path_tree,grid,grid13,tree,copt-gpu,on,rep2,12000,900,13.333333333333334,27,7048,1159321653.364029,1159314096.430797,1,gap,10.7,10.295,0.172,0.032,1,11041,30600,36.08169934640523,5.620915032679738
gridplanar_path_tree,grid,grid13,tree,copt-gpu,on,rep3,12000,900,13.333333333333334,28,7069,1159321038.916224,1159319407.142996,1,gap,11.673,11.246,0.18,0.033,1,11352,31500,36.03809523809524,5.714285714285714
gridplanar_path_tree,grid,grid14,path,copt-gpu,off,rep1,16000,1225,13.061224489795919,10,46854,1802673131.43532,1802670185.34707,1,gap,5.923,5.643,0.15,0.039,0,0,14700,0.0,10.204081632653061
gridplanar_path_tree,grid,grid14,path,copt-gpu,off,rep2,16000,1225,13.061224489795919,10,46854,1802673131.435337,1802670185.34707,1,gap,5.997,5.724,0.144,0.038,0,0,14700,0.0,9.795918367346939
gridplanar_path_tree,grid,grid14,path,copt-gpu,off,rep3,16000,1225,13.061224489795919,10,46854,1802673131.435317,1802670185.34707,1,gap,5.975,5.692,0.154,0.038,0,0,14700,0.0,10.476190476190476
gridplanar_path_tree,grid,grid14,path,copt-gpu,on,rep1,16000,1225,13.061224489795919,10,46854,1802673131.435322,1802670448.609177,1,gap,5.674,5.396,0.148,0.039,1,6889,14700,46.863945578231295,10.068027210884354
gridplanar_path_tree,grid,grid14,path,copt-gpu,on,rep2,16000,1225,13.061224489795919,10,46854,1802673131.435335,1802670448.609177,1,gap,6.074,5.784,0.159,0.04,1,6889,14700,46.863945578231295,10.816326530612244
gridplanar_path_tree,grid,grid14,path,copt-gpu,on,rep3,16000,1225,13.061224489795919,10,46854,1802673131.435329,1802670448.609177,1,gap,6.107,5.812,0.168,0.039,1,6889,14700,46.863945578231295,11.428571428571429
gridplanar_path_tree,grid,grid14,tree,copt-gpu,off,rep1,16000,1225,13.061224489795919,20,8941,1802735360.593493,1802602404.409823,1,gap,7.195,6.691,0.332,0.033,0,0,33075,0.0,10.037792894935752
gridplanar_path_tree,grid,grid14,tree,copt-gpu,off,rep2,16000,1225,13.061224489795919,19,9031,1802716257.4321,1802593298.997186,1,gap,6.731,6.26,0.322,0.031,0,0,31850,0.0,10.10989010989011
gridplanar_path_tree,grid,grid14,tree,copt-gpu,off,rep3,16000,1225,13.061224489795919,19,9023,1802710602.731804,1802586010.948322,1,gap,6.839,6.37,0.314,0.032,0,0,31850,0.0,9.858712715855573
gridplanar_path_tree,grid,grid14,tree,copt-gpu,on,rep1,16000,1225,13.061224489795919,23,8361,1802673016.340676,1802670931.569902,1,gap,8.128,7.637,0.273,0.042,1,16654,36750,45.31700680272109,7.428571428571429
gridplanar_path_tree,grid,grid14,tree,copt-gpu,on,rep2,16000,1225,13.061224489795919,24,8205,1802672991.333449,1802671090.739045,1,gap,8.948,8.426,0.285,0.045,1,17268,37975,45.47202106649111,7.50493745885451
gridplanar_path_tree,grid,grid14,tree,copt-gpu,on,rep3,16000,1225,13.061224489795919,23,8215,1802673043.318963,1802670815.808182,1,gap,8.757,8.257,0.281,0.042,1,16688,36750,45.40952380952381,7.64625850340136
gridplanar_path_tree,grid,grid15,path,copt-gpu,off,rep1,32000,1225,26.122448979591837,11,81874,3593521818.095505,3593517602.921721,1,gap,11.709,11.087,0.23,0.1,0,0,15925,0.0,14.442700156985872
gridplanar_path_tree,grid,grid15,path,copt-gpu,off,rep2,32000,1225,26.122448979591837,11,81874,3593521818.095512,3593517602.92172,1,gap,11.833,11.236,0.19,0.104,0,0,15925,0.0,11.930926216640502
