sweep,family,instance,formulation,solver,arm,rep,commodities,sources,per_source,iterations,columns,objective,lower_bound,optimal,exit,t_tot,t_lp,t_pr,t_sp,bounded_enabled,cut,priced,cut_rate_pct,per_price_us
gridplanar_path_tree,grid,grid14,tree,copt-gpu,off,rep3,16000,1225,13.061224489795919,23,8311,1802673077.955803,1802670537.090065,1,gap,8.734,8.169,0.346,0.041,0,0,36750,0.0,9.414965986394558
gridplanar_path_tree,grid,grid14,tree,copt-gpu,on,rep1,16000,1225,13.061224489795919,23,8311,1802673077.9558,1802670685.39106,1,gap,8.54,8.068,0.25,0.042,1,16507,36750,44.91700680272109,6.802721088435374
gridplanar_path_tree,grid,grid14,tree,copt-gpu,on,rep2,16000,1225,13.061224489795919,23,8311,1802673077.955795,1802670685.391059,1,gap,8.569,8.066,0.272,0.043,1,16507,36750,44.91700680272109,7.401360544217687
gridplanar_path_tree,grid,grid14,tree,copt-gpu,on,rep3,16000,1225,13.061224489795919,23,8279,1802673103.910129,1802670734.353424,1,gap,8.506,8.025,0.261,0.043,1,16527,36750,44.97142857142857,7.1020408163265305
gridplanar_path_tree,grid,grid15,path,copt-gpu,off,rep1,32000,1225,26.122448979591837,11,81874,3593521818.095542,3593517602.921721,1,gap,12.515,11.808,0.202,0.123,0,0,15925,0.0,12.684458398744113
gridplanar_path_tree,grid,grid15,path,copt-gpu,off,rep2,32000,1225,26.122448979591837,11,81874,3593521818.095586,3593517602.921721,1,gap,11.569,10.961,0.206,0.104,0,0,15925,0.0,12.93563579277865
gridplanar_path_tree,grid,grid15,path,copt-gpu,off,rep3,32000,1225,26.122448979591837,11,81874,3593521818.095482,3593517602.921719,1,gap,11.597,10.975,0.228,0.101,0,0,15925,0.0,14.317111459968602
gridplanar_path_tree,grid,grid15,path,copt-gpu,on,rep1,32000,1225,26.122448979591837,11,81874,3593521818.095592,3593517903.340163,1,gap,11.517,10.932,0.187,0.102,1,7296,15925,45.81475667189953,11.7425431711146
gridplanar_path_tree,grid,grid15,path,copt-gpu,on,rep2,32000,1225,26.122448979591837,11,81874,3593521818.095552,3593517903.340179,1,gap,11.579,10.98,0.2,0.103,1,7296,15925,45.81475667189953,12.558869701726845
gridplanar_path_tree,grid,grid15,path,copt-gpu,on,rep3,32000,1225,26.122448979591837,11,81874,3593521818.095511,3593517903.340173,1,gap,11.531,10.943,0.201,0.098,1,7296,15925,45.81475667189953,12.621664050235479
gridplanar_path_tree,grid,grid15,tree,copt-gpu,off,rep1,32000,1225,26.122448979591837,31,9540,3593521785.334917,3593517612.476793,1,gap,16.112,14.982,0.549,0.082,0,0,46550,0.0,11.793770139634802
gridplanar_path_tree,grid,grid15,tree,copt-gpu,off,rep2,32000,1225,26.122448979591837,26,9415,3593532279.194055,3593449641.374914,1,gap,12.458,11.601,0.453,0.064,0,0,40425,0.0,11.205936920222635
gridplanar_path_tree,grid,grid15,tree,copt-gpu,off,rep3,32000,1225,26.122448979591837,29,9484,3593521803.335221,3593517508.983305,1,gap,14.433,13.422,0.525,0.075,0,0,44100,0.0,11.904761904761905
gridplanar_path_tree,grid,grid15,tree,copt-gpu,on,rep1,32000,1225,26.122448979591837,25,9472,3593568871.001427,3593324195.499508,1,gap,11.787,11.072,0.332,0.062,1,14751,39200,37.630102040816325,8.46938775510204
gridplanar_path_tree,grid,grid15,tree,copt-gpu,on,rep2,32000,1225,26.122448979591837,25,9535,3593685526.129829,3593334600.386624,1,gap,11.766,11.064,0.321,0.061,1,14754,39200,37.63775510204081,8.188775510204081
gridplanar_path_tree,grid,grid15,tree,copt-gpu,on,rep3,32000,1225,26.122448979591837,25,9535,3593685526.129824,3593334600.38662,1,gap,11.802,11.093,0.324,0.059,1,14754,39200,37.63775510204081,8.26530612244898
gridplanar_path_tree,grid,grid2,path,copt-gpu,off,rep1,100,25,4.0,8,233,1705378.0,1705376.1053,1,gap,1.416,1.412,0.003,0.0,0,0,275,0.0,10.909090909090908
gridplanar_path_tree,grid,grid2,path,copt-gpu,off,rep2,100,25,4.0,8,233,1705378.0,1705376.1053,1,gap,1.432,1.429,0.002,0.0,0,0,275,0.0,7.2727272727272725
gridplanar_path_tree,grid,grid2,path,copt-gpu,off,rep3,100,25,4.0,8,233,1705378.0,1705376.1053,1,gap,1.433,1.429,0.002,0.0,0,0,275,0.0,7.2727272727272725
gridplanar_path_tree,grid,grid2,path,copt-gpu,on,rep1,100,25,4.0,8,233,1705378.0,1705376.847981,1,gap,1.47,1.466,0.002,0.0,1,187,275,68.0,7.2727272727272725
gridplanar_path_tree,grid,grid2,path,copt-gpu,on,rep2,100,25,4.0,8,233,1705378.0,1705376.847981,1,gap,1.44,1.436,0.003,0.0,1,187,275,68.0,10.909090909090908
gridplanar_path_tree,grid,grid2,path,copt-gpu,on,rep3,100,25,4.0,8,233,1705378.0,1705376.847981,1,gap,1.431,1.428,0.002,0.0,1,187,275,68.0,7.2727272727272725
gridplanar_path_tree,grid,grid2,tree,copt-gpu,off,rep1,100,25,4.0,15,150,1705381.362162,1705373.1053,1,gap,2.487,2.482,0.003,0.0,0,0,525,0.0,5.714285714285714
gridplanar_path_tree,grid,grid2,tree,copt-gpu,off,rep2,100,25,4.0,15,150,1705381.362162,1705373.1053,1,gap,2.508,2.503,0.003,0.0,0,0,525,0.0,5.714285714285714
gridplanar_path_tree,grid,grid2,tree,copt-gpu,off,rep3,100,25,4.0,14,150,1705375.0,1705373.1053,1,gap,2.376,2.37,0.003,0.0,0,0,500,0.0,6.0
