sweep,family,instance,formulation,solver,per_source,reps_off,reps_on,t_tot_off,t_tot_on,d_t_tot_pct,t_pr_off,t_pr_on,d_t_pr_pct,t_lp_off,t_lp_on,d_t_lp_pct,per_price_us_off,per_price_us_on,d_per_price_pct,iters_off,iters_on,cols_off,cols_on,priced_off,priced_on,traj_moved,traj_stable,pricing_share_pct,fire_rate_pct,pred_wall_pct,obj_off,obj_on,d_obj_rel,lb_delta,exit_off,exit_on,spread_off_pct,spread_per_price_off_pct
gridplanar_path_tree,grid,grid5,path,copt-gpu,1.2048192771084338,3,3,0.526,0.559,6.273764258555138,0.003,0.003,0.0,0.521,0.554,6.333973128598854,3.4876347495244135,2.8535193405199752,-18.181818181818166,9,10,268,269,996,1079,1,0,0.5703422053231939,77.01575532900834,-0.10369858278603516,5049726.000001,5049695.000001,6.1389469448429204e-06,340.9811869999394,gap,gap,66.66666666666667,42.85714285714285
gridplanar_path_tree,grid,grid5,tree,copt-gpu,1.2048192771084338,3,3,0.652,0.65,-0.306748466257669,0.004,0.004,0.0,0.645,0.644,-0.15503875968992262,2.747833439019235,2.5364616360177554,-7.692307692307697,13,13,260,260,1577,1577,0,1,0.6134969325153374,82.11794546607483,-0.047192071731949066,5049688.500151,5049688.500151,0.0,5.1659569991752505,gap,gap,25.0,24.999999999999996
gridplanar_path_tree,grid,grid6,path,copt-gpu,1.4814814814814814,3,3,0.902,0.913,1.2195121951219523,0.005,0.004,-20.0,0.893,0.904,1.2318029115341556,2.1604938271604937,2.0061728395061733,-7.142857142857114,13,13,765,775,2160,2160,1,0,0.5543237250554324,64.53703703703704,-0.03959455178967358,10401702.291528,10401757.083377,5.267584811094471e-06,3.627843998372555,gap,gap,20.0,20.000000000000004
gridplanar_path_tree,grid,grid6,tree,copt-gpu,1.4814814814814814,3,3,1.095,1.098,0.2739726027397364,0.007,0.006,-14.285714285714286,1.081,1.087,0.5550416281221097,2.147074610842727,1.8518518518518519,-13.750000000000009,18,18,583,583,3105,3105,0,0,0.6392694063926941,67.89049919484702,-0.0878995433789955,10401192.948593,10401192.948602,8.653143351505158e-13,-195.11050100065768,gap,gap,14.285714285714286,14.285714285714281
gridplanar_path_tree,grid,grid7,path,copt-gpu,1.6194331983805668,3,3,0.882,0.879,-0.34013605442176903,0.009,0.008,-11.111111111111104,0.867,0.866,-0.11534025374855834,2.5191183085919926,2.249212775528565,-10.71428571428571,11,11,1473,1473,3705,3705,0,1,1.020408163265306,69.01484480431849,-0.10932944606413988,25864202.982149,25864203.139016,6.065023445286877e-09,-0.16189300268888474,gap,gap,11.111111111111121,11.111111111111125
gridplanar_path_tree,grid,grid7,tree,copt-gpu,1.6194331983805668,3,3,1.039,1.085,4.427333974975943,0.013,0.01,-23.076923076923073,1.017,1.067,4.9164208456243905,2.6315789473684212,1.9931485518530052,-24.260355029585806,15,16,1057,947,4940,5187,1,0,1.2512030798845044,71.85270869481396,-0.3035463093210929,25864589.821603,25864111.849087,1.8479802668320364e-05,217.35235000029206,gap,gap,0.0,0.0
gridplanar_path_tree,grid,grid8,path,copt-gpu,1.4577259475218658,3,3,2.107,2.068,-1.850972947318469,0.028,0.023,-17.85714285714286,2.064,2.028,-1.7441860465116295,3.5156919910821474,3.1397174254317113,-10.694183864915574,18,18,1728,1756,7546,7546,1,0,1.3289036544850499,63.68937185263716,-0.14211540019821362,41711153.65488,41711146.831265,1.6359209472149374e-07,61.897974997758865,gap,gap,7.1428571428571495,8.974358974358976
gridplanar_path_tree,grid,grid8,tree,copt-gpu,1.4577259475218658,3,3,2.046,2.161,5.6207233626588575,0.031,0.025,-19.354838709677416,1.997,2.117,6.009013520280415,3.527336860670194,2.803319129849742,-20.525902668759805,20,21,1691,1705,8575,8918,1,0,1.5151515151515154,61.246916348957164,-0.31099852528423955,41711138.847,41711130.225999,2.066834242238097e-07,279.50251600146294,gap,gap,22.58064516129032,3.87096774193548
gridplanar_path_tree,grid,grid9,path,copt-gpu,2.0202020202020203,3,3,2.987,2.991,0.13391362571141624,0.036,0.033,-8.333333333333323,2.923,2.931,0.2736914129319195,3.2944832944832947,2.985074626865672,-9.391720642072656,18,18,3725,3724,10890,10890,1,0,1.205222631402745,57.51147842056933,-0.11319114265638283,82653018.474703,82652986.951973,3.81386313223569e-07,528.4251770079136,gap,gap,11.111111111111104,6.746031746031747
gridplanar_path_tree,grid,grid9,tree,copt-gpu,2.0202020202020203,3,3,3.308,3.518,6.348246674727932,0.056,0.04,-28.571428571428573,3.223,3.442,6.794911573068579,3.6852036852036854,2.6936026936026938,-26.90763052208835,23,24,2839,2739,14355,14850,1,0,1.692865779927449,54.707070707070706,-0.45551006929774723,82653588.419226,82653125.696758,5.5983348920879646e-06,2809.2691679894924,gap,gap,21.428571428571423,24.38423645320197
